source,hour,existing_cost
Solar,740,25
Solar,741,25
Solar,742,25
Solar,743,25
Solar,744,25
Solar,745,25
Solar,746,25
Solar,747,25
Solar,748,25
Solar,749,25
Solar,750,25
Solar,751,25
Solar,752,25
Solar,753,25
Solar,754,25
Solar,755,25
Solar,756,25
Solar,757,25
Solar,758,25
Solar,759,25
Solar,760,25
Solar,761,25
Solar,762,25
Solar,763,25
Solar,764,25
Solar,765,25
Solar,766,25
Solar,767,25
Solar,768,25
Solar,769,25
Solar,770,25
Solar,771,25
Solar,772,25
Solar,773,25
Solar,774,25
Solar,775,25
Solar,776,25
Solar,777,25
Solar,778,25
Solar,779,25
Solar,780,25
Solar,781,25
Solar,782,25
Solar,783,25
Solar,784,25
Solar,785,25
Solar,786,25
Solar,787,25
Solar,788,25
Solar,789,25
Solar,790,25
Solar,791,25
Solar,792,25
Solar,793,25
Solar,794,25
Solar,795,25
Solar,796,25
Solar,797,25
Solar,798,25
Solar,799,25
Solar,800,25
Solar,801,25
Solar,802,25
Solar,803,25
Solar,804,25
Solar,805,25
Solar,806,25
Solar,807,25
Solar,808,25
Solar,809,25
Solar,810,25
Solar,811,25
Solar,812,25
Solar,813,25
Solar,814,25
Solar,815,25
Solar,816,25
Solar,817,25
Solar,818,25
Solar,819,25
Solar,820,25
Solar,821,25
Solar,822,25
Solar,823,25
Solar,824,25
Solar,825,25
Solar,826,25
Solar,827,25
Solar,828,25
Solar,829,25
Solar,830,25
Solar,831,25
Solar,832,25
Solar,833,25
Solar,834,25
Solar,835,25
Solar,836,25
Solar,837,25
Solar,838,25
Solar,839,25
Solar,840,25
Solar,841,25
Solar,842,25
Solar,843,25
Solar,844,25
Solar,845,25
Solar,846,25
Solar,847,25
Solar,848,25
Solar,849,25
Solar,850,25
Solar,851,25
Solar,852,25
Solar,853,25
Solar,854,25
Solar,855,25
Solar,856,25
Solar,857,25
Solar,858,25
Solar,859,25
Solar,860,25
Solar,861,25
Solar,862,25
Solar,863,25
Solar,864,25
Solar,865,25
Solar,866,25
Solar,867,25
Solar,868,25
Solar,869,25
Solar,870,25
Solar,871,25
Solar,872,25
Solar,873,25
Solar,874,25
Solar,875,25
Solar,876,25
Solar,877,25
Solar,878,25
Solar,879,25
Solar,880,25
Solar,881,25
Solar,882,25
Solar,883,25
Solar,884,25
Solar,885,25
Solar,886,25
Solar,887,25
Solar,888,25
