Hour,Demand
5073,49661.21875
5074,54573.17578
5075,58969.75
5076,62977.75
5077,66143.74219
5078,68431.59375
5079,69780.53125
5080,70456.14063
5081,70767.32031
5082,70181.375
5083,68700.35156
5084,66029.38281
5085,64166.82031
5086,60948.58203
5087,57534.98438
5088,54163.375
5089,51134.20313
5090,48412.97266
5091,46508.50391
5092,44968.09766
5093,43811.53906
5094,43349.74219
5095,42532.05859
5096,44223.30078
5097,48067.9375
5098,52669.09766
5099,57021.70703
5100,61040.64844
5101,64175.07813
5102,66178.08594
5103,67314.07031
5104,66718.53906
5105,64922.80078
5106,63349.07031
5107,61096.24609
5108,58831.375
5109,57693.72656
5110,55249.28516
5111,52173.45703
5112,48849.78125
5113,46118.71875
5114,44345.54297
5115,43120.63672
5116,42743.375
5117,43033.90234
5118,44258.14453
5119,45223.25391
5120,46785.46484
5121,48864.39844
5122,51388.90234
5123,53966.54688
5124,55778.46875
5125,57771.51953
5126,59891.39453
5127,61577.28125
5128,62767.90234
5129,62848.96094
5130,61980.07422
5131,59957.14453
5132,57810.84766
5133,56730.83984
5134,54092.13281
5135,50379.96094
5136,47136.97266
5137,44535.1875
5138,42556.70313
5139,41146.03906
5140,40789.43359
5141,41134.86719
5142,42576.33203
5143,44005.02344
5144,45000.04688
5145,46972.81641
5146,50150.08984
5147,52421.42188
5148,56760.23047
5149,60412.15234
5150,62757.57813
5151,64868.81641
5152,65378.46094
5153,65651.02344
5154,65172.90625
5155,62970.71484
5156,60232.41797
5157,58467.34375
5158,55353.30859
5159,51450.05469
5160,47789.09375
5161,45033.88672
5162,42982.39063
5163,41455.57813
5164,40925.46094
5165,41268.41016
5166,42697.21484
5167,43834.79688
5168,45082.73828
5169,47544.66016
5170,51147.41406
5171,54689.82813
5172,58299.03125
5173,60811.80859
5174,62881.3125
5175,64714.99219
5176,65543.77344
5177,65742.15625
5178,64896.61719
5179,62714.07813
5180,59951.40234
5181,58711.57422
5182,55800.93359
5183,52319.75391
5184,48624.09766
5185,46011.44141
5186,43931.8125
5187,42299.84375
5188,41621.72266
5189,41820.10547
5190,43094.21094
5191,44404.21094
5192,45608.42969
5193,48049.59375
5194,50968.16406
5195,54109.20703
5196,56583.83203
5197,58742.92188
5198,60090.08984
5199,61005.41406
5200,61946.92578
5201,62084.55469
5202,61789.5625
5203,59825.01953
5204,57316.04297
5205,56109.37891
5206,53418.68359
5207,50187.39844
5208,46614.84766
5209,43802.04688
5210,41946.00781
5211,40681.26953
5212,40385.77734
5213,40681.09766
5214,41990.62891
5215,43255.34766
5216,44904.61719
5217,48101.25391
5218,51979.19922
5219,55701.29688
5220,59382.38672
5221,63063.05859
5222,65498.01953
5223,66412.35938
5224,66266.29688
5225,65967.25781
5226,64827.01172
5227,62422.21875
5228,59773.80859
5229,58357.32031
5230,55800.125
5231,52539.93359
5232,49330.21875
5233,46702.60156
5234,44554.12109
5235,43139.85156
