source,hour,added_capacity
Solar,824,999999999
Solar,825,999999999
Solar,826,999999999
Solar,827,999999999
Solar,828,999999999
Solar,829,999999999
Solar,830,999999999
Solar,831,999999999
Solar,832,999999999
Solar,833,999999999
Solar,834,999999999
Solar,835,999999999
Solar,836,999999999
Solar,837,999999999
Solar,838,999999999
Solar,839,999999999
Solar,840,999999999
Solar,841,999999999
Solar,842,999999999
Solar,843,999999999
Solar,844,999999999
Solar,845,999999999
Solar,846,999999999
Solar,847,999999999
Solar,848,999999999
Solar,849,999999999
Solar,850,999999999
Solar,851,999999999
Solar,852,999999999
Solar,853,999999999
Solar,854,999999999
Solar,855,999999999
Solar,856,999999999
Solar,857,999999999
Solar,858,999999999
Solar,859,999999999
Solar,860,999999999
Solar,861,999999999
Solar,862,999999999
Solar,863,999999999
Solar,864,999999999
Solar,865,999999999
Solar,866,999999999
Solar,867,999999999
Solar,868,999999999
Solar,869,999999999
Solar,870,999999999
Solar,871,999999999
Solar,872,999999999
Solar,873,999999999
Solar,874,999999999
Solar,875,999999999
Solar,876,999999999
Solar,877,999999999
Solar,878,999999999
Solar,879,999999999
Solar,880,999999999
Solar,881,999999999
Solar,882,999999999
Solar,883,999999999
Solar,884,999999999
Solar,885,999999999
Solar,886,999999999
Solar,887,999999999
Solar,888,999999999
Solar,889,999999999
Solar,890,999999999
Solar,891,999999999
Solar,892,999999999
Solar,893,999999999
Solar,894,999999999
Solar,895,999999999
Solar,896,999999999
Solar,897,999999999
Solar,898,999999999
Solar,899,999999999
Solar,900,999999999
Solar,901,999999999
Solar,902,999999999
Solar,903,999999999
Solar,904,999999999
Solar,905,999999999
Solar,906,999999999
Solar,907,999999999
Solar,908,999999999
Solar,909,999999999
Solar,910,999999999
Solar,911,999999999
Solar,912,999999999
Solar,913,999999999
Solar,914,999999999
Solar,915,999999999
Solar,916,999999999
Solar,917,999999999
Solar,918,999999999
Solar,919,999999999
Solar,920,999999999
Solar,921,999999999
Solar,922,999999999
Solar,923,999999999
Solar,924,999999999
Solar,925,999999999
Solar,926,999999999
Solar,927,999999999
Solar,928,999999999
Solar,929,999999999
Solar,930,999999999
Solar,931,999999999
Solar,932,999999999
Solar,933,999999999
Solar,934,999999999
Solar,935,999999999
Solar,936,999999999
Solar,937,999999999
Solar,938,999999999
Solar,939,999999999
Solar,940,999999999
Solar,941,999999999
Solar,942,999999999
Solar,943,999999999
Solar,944,999999999
Solar,945,999999999
Solar,946,999999999
Solar,947,999999999
Solar,948,999999999
Solar,949,999999999
Solar,950,999999999
Solar,951,999999999
Solar,952,999999999
Solar,953,999999999
Solar,954,999999999
Solar,955,999999999
Solar,956,999999999
Solar,957,999999999
Solar,958,999999999
Solar,959,999999999
Solar,960,999999999
Solar,961,999999999
Solar,962,999999999
Solar,963,999999999
Solar,964,999999999
Solar,965,999999999
Solar,966,999999999
Solar,967,999999999
Solar,968,999999999
Solar,969,999999999
Solar,970,999999999
Solar,971,999999999
Solar,972,999999999
Solar,973,999999999
Solar,974,999999999
Solar,975,999999999
Solar,976,999999999
Solar,977,999999999
Solar,978,999999999
Solar,979,999999999
Solar,980,999999999
Solar,981,999999999
Solar,982,999999999
Solar,983,999999999
Solar,984,999999999
Solar,985,999999999
Solar,986,999999999
Solar,987,999999999
Solar,988,999999999
Solar,989,999999999
Solar,990,999999999
Solar,991,999999999
Solar,992,999999999
Solar,993,999999999
Solar,994,999999999
Solar,995,999999999
Solar,996,999999999
Solar,997,999999999
Solar,998,999999999
Solar,999,999999999
Solar,1000,999999999
Solar,1001,999999999
Solar,1002,999999999
Solar,1003,999999999
Solar,1004,999999999
Solar,1005,999999999
Solar,1006,999999999
Solar,1007,999999999
Solar,1008,999999999
Solar,1009,999999999
Solar,1010,999999999
Solar,1011,999999999
Solar,1012,999999999
Solar,1013,999999999
Solar,1014,999999999
Solar,1015,999999999
Solar,1016,999999999
Solar,1017,999999999
Solar,1018,999999999
Solar,1019,999999999
Solar,1020,999999999
Solar,1021,999999999
Solar,1022,999999999
Solar,1023,999999999
Solar,1024,999999999
Solar,1025,999999999
Solar,1026,999999999
Solar,1027,999999999
Solar,1028,999999999
Solar,1029,999999999
Solar,1030,999999999
Solar,1031,999999999
Solar,1032,999999999
Solar,1033,999999999
Solar,1034,999999999
Solar,1035,999999999
Solar,1036,999999999
Solar,1037,999999999
Solar,1038,999999999
Solar,1039,999999999
